open,high,low,close,Volume BTC,Volume USDT,sentiment,group,Date,time_idx
9396.18,9565.0,9391.63,9515.36,4787.46,45437007.83,0.1775,BTC,2020/2/10 11:00,24404
9384.41,9396.79,9331.23,9396.18,1684.04,15774980.97,0.1775,BTC,2020/2/10 10:00,24403
9378.09,9395.0,9362.23,9384.41,795.86,7464900.57,0.1775,BTC,2020/2/10 09:00,24402
9370.14,9402.3,9350.54,9378.09,1245.8,11683086.76,0.09,BTC,2020/2/10 08:00,24401
9427.07,9433.48,9346.16,9370.14,1775.34,16657087.21,0.09,BTC,2020/2/10 07:00,24400
9428.26,9452.36,9415.82,9427.07,1040.08,9811144.45,0.09,BTC,2020/2/10 06:00,24399
9396.58,9438.0,9374.16,9428.26,996.9,9380773.63,0.09,BTC,2020/2/10 05:00,24398
9420.93,9422.76,9372.0,9396.58,1059.84,9956212.96,0.09,BTC,2020/2/10 04:00,24397
9404.98,9431.65,9389.99,9420.93,1102.31,10378788.07,0.09,BTC,2020/2/10 03:00,24396
9434.46,9435.0,9394.02,9404.98,1286.53,12111557.05,0.09,BTC,2020/2/10 02:00,24395
9427.05,9443.0,9393.29,9434.46,2520.84,23741674.25,0.09,BTC,2020/2/10 01:00,24394
9434.3,9457.69,9410.3,9427.05,2373.04,22389523.09,0.09,BTC,2020/2/10 00:00,24393
9412.0,9447.59,9394.79,9434.3,2396.28,22588801.28,0.09,BTC,2020/2/9 23:00,24392
9445.07,9449.49,9330.0,9412.0,2733.68,25662154.02,0.09,BTC,2020/2/9 22:00,24391
9438.32,9478.0,9420.01,9445.07,1905.5,18002571.13,0.09,BTC,2020/2/9 21:00,24390
9398.18,9448.6,9385.12,9438.32,1581.29,14894421.94,0.09,BTC,2020/2/9 20:00,24389
9403.87,9454.26,9372.18,9398.18,2276.69,21446182.63,0.09,BTC,2020/2/9 19:00,24388
9365.0,9420.0,9335.0,9403.87,4127.03,38748812.15,0.09,BTC,2020/2/9 18:00,24387
9445.0,9472.0,9356.0,9365.0,4393.81,41348746.66,0.09,BTC,2020/2/9 17:00,24386
9450.8,9479.0,9437.18,9445.0,2437.31,23055418.61,0.09,BTC,2020/2/9 16:00,24385
9523.5,9593.69,9420.38,9450.8,6078.92,57707615.09,0.09,BTC,2020/2/9 15:00,24384
